Material_raw,Menge,Einheit_x,Material,Material_ID,Dichte,Einheit_y,CO2_Faktor,CO2_total_kg
"Beton, Stahlbeton",6.327750109374516,m3,"Beton, Stahlbeton",,,,,
"Beton, Stahlbeton",11.27775019878148,m3,"Beton, Stahlbeton",,,,,
"MW, Backstein",2.752499995529649,m3,"MW, Backstein",,,,,
"Beton, Stahlbeton",6.055500099539748,m3,"Beton, Stahlbeton",,,,,
"Beton, Stahlbeton",11.55000020861626,m3,"Beton, Stahlbeton",,,,,
"MW, Backstein",2.44499999776483,m3,"MW, Backstein",,,,,
"Dämmung, Steinwolle",4.673999999999983,m3,"Dämmung, Steinwolle",,,,,
"MW, Backstein",1.319999997764829,m3,"MW, Backstein",,,,,
"Dämmung, Steinwolle",8.093999999999982,m3,"Dämmung, Steinwolle",,,,,
"Dämmung, Steinwolle",4.559999999999999,m3,"Dämmung, Steinwolle",,,,,
